"student_id","exam_id","subject_id","marks_obtained"
"sprs_508207_student_905","sprs_508207_exam_1","sprs_508207_subject_3",40
"sprs_508207_student_905","sprs_508207_exam_1","sprs_508207_subject_2",34
"sprs_508207_student_905","sprs_508207_exam_1","sprs_508207_subject_5",40
"sprs_508207_student_905","sprs_508207_exam_1","sprs_508207_subject_4",46
"sprs_508207_student_905","sprs_508207_exam_1","sprs_508207_subject_1",25
"sprs_508207_student_905","sprs_508207_exam_1","sprs_508207_subject_6",37
"sprs_508207_student_327","sprs_508207_exam_1","sprs_508207_subject_3",45
"sprs_508207_student_327","sprs_508207_exam_1","sprs_508207_subject_2",40
"sprs_508207_student_327","sprs_508207_exam_1","sprs_508207_subject_5",30
"sprs_508207_student_327","sprs_508207_exam_1","sprs_508207_subject_4",50
"sprs_508207_student_327","sprs_508207_exam_1","sprs_508207_subject_1",15
"sprs_508207_student_327","sprs_508207_exam_1","sprs_508207_subject_6",44
"sprs_508207_student_051","sprs_508207_exam_1","sprs_508207_subject_3",24
"sprs_508207_student_051","sprs_508207_exam_1","sprs_508207_subject_2",49
"sprs_508207_student_051","sprs_508207_exam_1","sprs_508207_subject_5",28
"sprs_508207_student_051","sprs_508207_exam_1","sprs_508207_subject_4",41
"sprs_508207_student_051","sprs_508207_exam_1","sprs_508207_subject_1",49
"sprs_508207_student_051","sprs_508207_exam_1","sprs_508207_subject_6",16
"sprs_508207_student_200","sprs_508207_exam_1","sprs_508207_subject_3",33
"sprs_508207_student_200","sprs_508207_exam_1","sprs_508207_subject_2",31
"sprs_508207_student_200","sprs_508207_exam_1","sprs_508207_subject_5",40
"sprs_508207_student_200","sprs_508207_exam_1","sprs_508207_subject_4",22
"sprs_508207_student_200","sprs_508207_exam_1","sprs_508207_subject_1",38
"sprs_508207_student_200","sprs_508207_exam_1","sprs_508207_subject_6",46
"sprs_508207_student_051","sprs_508207_exam_1","sprs_508207_subject_3",38
"sprs_508207_student_051","sprs_508207_exam_1","sprs_508207_subject_2",45
"sprs_508207_student_051","sprs_508207_exam_1","sprs_508207_subject_5",37
"sprs_508207_student_051","sprs_508207_exam_1","sprs_508207_subject_4",35
"sprs_508207_student_051","sprs_508207_exam_1","sprs_508207_subject_1",32
"sprs_508207_student_051","sprs_508207_exam_1","sprs_508207_subject_6",49
"sprs_508207_student_474","sprs_508207_exam_1","sprs_508207_subject_3",46
"sprs_508207_student_474","sprs_508207_exam_1","sprs_508207_subject_2",43
"sprs_508207_student_474","sprs_508207_exam_1","sprs_508207_subject_5",42
"sprs_508207_student_474","sprs_508207_exam_1","sprs_508207_subject_4",20
"sprs_508207_student_474","sprs_508207_exam_1","sprs_508207_subject_1",17
"sprs_508207_student_474","sprs_508207_exam_1","sprs_508207_subject_6",38
"sprs_508207_student_701","sprs_508207_exam_1","sprs_508207_subject_3",31
"sprs_508207_student_701","sprs_508207_exam_1","sprs_508207_subject_2",35
"sprs_508207_student_701","sprs_508207_exam_1","sprs_508207_subject_5",29
"sprs_508207_student_701","sprs_508207_exam_1","sprs_508207_subject_4",47
"sprs_508207_student_701","sprs_508207_exam_1","sprs_508207_subject_1",27
"sprs_508207_student_701","sprs_508207_exam_1","sprs_508207_subject_6",15
"sprs_508207_student_972","sprs_508207_exam_1","sprs_508207_subject_3",45
"sprs_508207_student_972","sprs_508207_exam_1","sprs_508207_subject_2",24
"sprs_508207_student_972","sprs_508207_exam_1","sprs_508207_subject_5",18
"sprs_508207_student_972","sprs_508207_exam_1","sprs_508207_subject_4",28
"sprs_508207_student_972","sprs_508207_exam_1","sprs_508207_subject_1",41
"sprs_508207_student_972","sprs_508207_exam_1","sprs_508207_subject_6",26
"sprs_508207_student_021","sprs_508207_exam_1","sprs_508207_subject_3",16
"sprs_508207_student_021","sprs_508207_exam_1","sprs_508207_subject_2",33
"sprs_508207_student_021","sprs_508207_exam_1","sprs_508207_subject_5",49
"sprs_508207_student_021","sprs_508207_exam_1","sprs_508207_subject_4",17
"sprs_508207_student_021","sprs_508207_exam_1","sprs_508207_subject_1",42
"sprs_508207_student_021","sprs_508207_exam_1","sprs_508207_subject_6",47
"sprs_508207_student_472","sprs_508207_exam_1","sprs_508207_subject_3",40
"sprs_508207_student_472","sprs_508207_exam_1","sprs_508207_subject_2",41
"sprs_508207_student_472","sprs_508207_exam_1","sprs_508207_subject_5",23
"sprs_508207_student_472","sprs_508207_exam_1","sprs_508207_subject_4",48
"sprs_508207_student_472","sprs_508207_exam_1","sprs_508207_subject_1",25
"sprs_508207_student_472","sprs_508207_exam_1","sprs_508207_subject_6",47
"sprs_508207_student_492","sprs_508207_exam_1","sprs_508207_subject_3",43
"sprs_508207_student_492","sprs_508207_exam_1","sprs_508207_subject_2",49
"sprs_508207_student_492","sprs_508207_exam_1","sprs_508207_subject_5",19
"sprs_508207_student_492","sprs_508207_exam_1","sprs_508207_subject_4",42
"sprs_508207_student_492","sprs_508207_exam_1","sprs_508207_subject_1",20
"sprs_508207_student_492","sprs_508207_exam_1","sprs_508207_subject_6",17
"sprs_508207_student_537","sprs_508207_exam_1","sprs_508207_subject_3",25
"sprs_508207_student_537","sprs_508207_exam_1","sprs_508207_subject_2",50
"sprs_508207_student_537","sprs_508207_exam_1","sprs_508207_subject_5",33
"sprs_508207_student_537","sprs_508207_exam_1","sprs_508207_subject_4",44
"sprs_508207_student_537","sprs_508207_exam_1","sprs_508207_subject_1",30
"sprs_508207_student_537","sprs_508207_exam_1","sprs_508207_subject_6",27
"sprs_508207_student_358","sprs_508207_exam_1","sprs_508207_subject_3",50
"sprs_508207_student_358","sprs_508207_exam_1","sprs_508207_subject_2",45
"sprs_508207_student_358","sprs_508207_exam_1","sprs_508207_subject_5",24
"sprs_508207_student_358","sprs_508207_exam_1","sprs_508207_subject_4",18
"sprs_508207_student_358","sprs_508207_exam_1","sprs_508207_subject_1",28
"sprs_508207_student_358","sprs_508207_exam_1","sprs_508207_subject_6",41
"sprs_508207_student_026","sprs_508207_exam_1","sprs_508207_subject_3",26
"sprs_508207_student_026","sprs_508207_exam_1","sprs_508207_subject_2",16
"sprs_508207_student_026","sprs_508207_exam_1","sprs_508207_subject_5",32
"sprs_508207_student_026","sprs_508207_exam_1","sprs_508207_subject_4",34
"sprs_508207_student_026","sprs_508207_exam_1","sprs_508207_subject_1",48
"sprs_508207_student_026","sprs_508207_exam_1","sprs_508207_subject_6",32
"sprs_508207_student_791","sprs_508207_exam_1","sprs_508207_subject_3",38
"sprs_508207_student_791","sprs_508207_exam_1","sprs_508207_subject_2",40
"sprs_508207_student_791","sprs_508207_exam_1","sprs_508207_subject_5",34
"sprs_508207_student_791","sprs_508207_exam_1","sprs_508207_subject_4",40
"sprs_508207_student_791","sprs_508207_exam_1","sprs_508207_subject_1",37
"sprs_508207_student_791","sprs_508207_exam_1","sprs_508207_subject_6",36
"sprs_508207_student_700","sprs_508207_exam_1","sprs_508207_subject_3",32
"sprs_508207_student_700","sprs_508207_exam_1","sprs_508207_subject_2",33
"sprs_508207_student_700","sprs_508207_exam_1","sprs_508207_subject_5",35
"sprs_508207_student_700","sprs_508207_exam_1","sprs_508207_subject_4",49
"sprs_508207_student_700","sprs_508207_exam_1","sprs_508207_subject_1",42
"sprs_508207_student_700","sprs_508207_exam_1","sprs_508207_subject_6",20
"sprs_508207_student_241","sprs_508207_exam_1","sprs_508207_subject_3",17
"sprs_508207_student_241","sprs_508207_exam_1","sprs_508207_subject_2",48
"sprs_508207_student_241","sprs_508207_exam_1","sprs_508207_subject_5",47
"sprs_508207_student_241","sprs_508207_exam_1","sprs_508207_subject_4",47
"sprs_508207_student_241","sprs_508207_exam_1","sprs_508207_subject_1",33
"sprs_508207_student_241","sprs_508207_exam_1","sprs_508207_subject_6",30
"sprs_508207_student_273","sprs_508207_exam_1","sprs_508207_subject_3",42
"sprs_508207_student_273","sprs_508207_exam_1","sprs_508207_subject_2",38
"sprs_508207_student_273","sprs_508207_exam_1","sprs_508207_subject_5",44
"sprs_508207_student_273","sprs_508207_exam_1","sprs_508207_subject_4",24
"sprs_508207_student_273","sprs_508207_exam_1","sprs_508207_subject_1",18
"sprs_508207_student_273","sprs_508207_exam_1","sprs_508207_subject_6",44
"sprs_508207_student_602","sprs_508207_exam_1","sprs_508207_subject_3",48
"sprs_508207_student_602","sprs_508207_exam_1","sprs_508207_subject_2",26
"sprs_508207_student_602","sprs_508207_exam_1","sprs_508207_subject_5",39
"sprs_508207_student_602","sprs_508207_exam_1","sprs_508207_subject_4",33
"sprs_508207_student_602","sprs_508207_exam_1","sprs_508207_subject_1",40
"sprs_508207_student_602","sprs_508207_exam_1","sprs_508207_subject_6",39
